;(flair-tagged) sentence;;spaCy - flair;;stanza - flair;;stanza - spaCy
10;['You_PRON', 'will_AUX', ',_PUNCT', 'therefore_ADV', ',_PUNCT', 'permit_VERB', 'me_PRON', 'to_PART', 'repeat_VERB', ',_PUNCT', 'emphatically_ADV', ',_PUNCT', 'that_ADP', 'Marley_PROPN', 'was_VERB', 'as_ADV', 'dead_ADJ', 'as_ADP', 'a_DET', 'door-nail_NOUN', '._PUNCT'];21;{'as_SCONJ', 'nail_NOUN', '-_PUNCT', 'was_AUX', 'door_NOUN', 'that_SCONJ', 'will_VERB'};23;{'nail_NOUN', '-_PUNCT', 'was_AUX', 'door_NOUN', 'that_SCONJ'};23;{'will_VERB', 'as_SCONJ'}
11;['Scrooge_PROPN', 'knew_VERB', 'he_PRON', 'was_VERB', 'dead_ADJ', '?_PUNCT'];6;{'was_AUX'};6;{'was_AUX'};6;
12;['Of_ADV', 'course_ADV', 'he_PRON', 'did_VERB', '._PUNCT'];5;{'did_AUX'};5;;5;{'did_AUX'}
13;['How_ADV', 'could_AUX', 'it_PRON', 'be_VERB', 'otherwise_ADV', '?_PUNCT'];6;{'could_VERB', 'be_AUX'};6;{'be_AUX'};6;{'could_VERB'}
14;"['Scrooge_PROPN', 'and_CCONJ', 'he_PRON', 'were_VERB', 'partners_NOUN', 'for_ADP', 'I_PRON', 'do_VERB', ""n't_ADV"", 'know_VERB', 'how_ADV', 'many_ADJ', 'years_NOUN', '._PUNCT']";14;"{'do_AUX', ""n't_PART"", 'were_AUX'}";14;"{'do_AUX', ""n't_PART"", 'for_SCONJ', 'were_AUX'}";14;
15;['Scrooge_PROPN', 'was_VERB', 'his_PRON', 'sole_ADJ', 'executor_NOUN', ',_PUNCT', 'his_PRON', 'sole_ADJ', 'administrator_NOUN', ',_PUNCT', 'his_PRON', 'sole_ADJ', 'assign_NOUN', ',_PUNCT', 'his_PRON', 'sole_ADJ', 'residuary_NOUN', 'legatee_NOUN', ',_PUNCT', 'his_PRON', 'sole_ADJ', 'friend_NOUN', ',_PUNCT', 'and_CCONJ', 'sole_ADJ', 'mourner_NOUN', '._PUNCT'];27;{'residuary_ADJ', 'was_AUX', 'his_DET'};27;{'was_AUX'};27;{'his_DET', 'residuary_ADJ'}
16;['And_CCONJ', 'even_ADV', 'Scrooge_PROPN', 'was_VERB', 'not_ADV', 'so_ADV', 'dreadfully_ADV', 'cut_VERB', 'up_ADP', 'by_ADP', 'the_DET', 'sad_ADJ', 'event_NOUN', ',_PUNCT', 'but_CCONJ', 'that_ADP', 'he_PRON', 'was_VERB', 'an_DET', 'excellent_ADJ', 'man_NOUN', 'of_ADP', 'business_NOUN', 'on_ADP', 'the_DET', 'very_ADJ', 'day_NOUN', 'of_ADP', 'the_DET', 'funeral_NOUN', ',_PUNCT', 'and_CCONJ', 'solemnised_VERB', 'it_PRON', 'with_ADP', 'an_DET', 'undoubted_ADJ', 'bargain_NOUN', '._PUNCT'];39;{'not_PART', 'that_SCONJ', 'was_AUX'};39;{'not_PART', 'that_SCONJ', 'was_AUX'};39;
17;"['The_DET', 'mention_NOUN', 'of_ADP', 'Marley_PROPN', ""'s_PART"", 'funeral_NOUN', 'brings_VERB', 'me_PRON', 'back_ADV', 'to_ADP', 'the_DET', 'point_NOUN', 'I_PRON', 'started_VERB', 'from_ADP', '._PUNCT']";16;;16;;16;
18;['There_PRON', 'is_VERB', 'no_DET', 'doubt_NOUN', 'that_ADP', 'Marley_PROPN', 'was_VERB', 'dead_ADJ', '._PUNCT'];9;{'is_AUX', 'that_SCONJ', 'was_AUX'};9;{'that_SCONJ', 'was_AUX'};9;{'is_AUX'}
19;['This_DET', 'must_AUX', 'be_VERB', 'distinctly_ADV', 'understood_VERB', ',_PUNCT', 'or_CCONJ', 'nothing_NOUN', 'wonderful_ADJ', 'can_AUX', 'come_VERB', 'of_ADP', 'the_DET', 'story_NOUN', 'I_PRON', 'am_VERB', 'going_VERB', 'to_PART', 'relate_VERB', '._PUNCT'];20;{'can_VERB', 'must_VERB', 'be_AUX', 'am_AUX', 'nothing_PRON'};20;{'nothing_PRON', 'This_PRON', 'am_AUX', 'be_AUX'};20;{'can_VERB', 'must_VERB'}
20;"['If_ADP', 'we_PRON', 'were_VERB', 'not_ADV', 'perfectly_ADV', 'convinced_ADJ', 'that_ADP', 'Hamlet_PROPN', ""'s_PART"", 'Father_PROPN', 'died_VERB', 'before_ADP', 'the_DET', 'play_NOUN', 'began_VERB', ',_PUNCT', 'there_PRON', 'would_AUX', 'be_VERB', 'nothing_NOUN', 'more_ADV', 'remarkable_ADJ', 'in_ADP', 'his_PRON', 'taking_VERB', 'a_DET', 'stroll_NOUN', 'at_ADP', 'night_NOUN', ',_PUNCT', 'in_ADP', 'an_DET', 'easterly_ADJ', 'wind_NOUN', ',_PUNCT', 'upon_ADP', 'his_PRON', 'own_ADJ', 'ramparts_NOUN', ',_PUNCT', 'than_ADP', 'there_PRON', 'would_AUX', 'be_VERB', 'in_ADP', 'any_DET', 'other_ADJ', 'middle-aged_ADJ', 'gentleman_NOUN', 'rashly_ADV', 'turning_VERB', 'out_ADP', 'after_ADP', 'dark_NOUN', 'in_ADP', 'a_DET', 'breezy_ADJ', 'spot_NOUN', '--_PUNCT', 'say_VERB', 'St._PROPN', 'Paul_PROPN', ""'s_PART"", 'Church-yard_PROPN', ',_PUNCT', 'for_ADP', 'instance_NOUN', '--_PUNCT', 'literally_ADV', 'to_PART', 'astonish_VERB', 'his_PRON', 'son_NOUN', ""'s_PART"", 'weak_ADJ', 'mind_NOUN', '._PUNCT']";77;{'were_AUX', 'be_AUX', 'his_DET', 'convinced_VERB', 'not_PART', '-_PUNCT', 'If_SCONJ', 'than_SCONJ', 'Church_PROPN', 'upon_SCONJ', 'would_VERB', 'nothing_PRON', 'that_SCONJ', 'middle_NOUN', 'aged_ADJ', 'yard_PROPN'};81;{'were_AUX', 'not_PART', 'yard_NOUN', '-_PUNCT', 'If_SCONJ', 'than_SCONJ', 'Church_PROPN', 'middle_ADJ', 'before_SCONJ', 'nothing_PRON', 'that_SCONJ', 'dark_ADJ', 'aged_ADJ'};81;{'his_DET', 'be_AUX', 'convinced_VERB', 'upon_SCONJ', 'would_VERB', 'middle_NOUN', 'yard_PROPN'}
21;"['Scrooge_PROPN', 'never_ADV', 'painted_VERB', 'out_ADP', 'Old_PROPN', 'Marley_PROPN', ""'s_PART"", 'name_NOUN', '._PUNCT']";9;;9;{'Old_ADJ'};9;
22;['There_ADV', 'it_PRON', 'stood_VERB', ',_PUNCT', 'years_NOUN', 'afterwards_ADV', ',_PUNCT', 'above_ADP', 'the_DET', 'warehouse_NOUN', 'door_NOUN', ':_PUNCT', 'Scrooge_PROPN', 'and_CCONJ', 'Marley_PROPN', '._PUNCT'];16;;16;{'There_PRON'};16;
23;['The_DET', 'firm_NOUN', 'was_VERB', 'known_VERB', 'as_ADP', 'Scrooge_PROPN', 'and_CCONJ', 'Marley_PROPN', '._PUNCT'];9;{'was_AUX', 'as_SCONJ'};9;{'was_AUX'};9;{'as_SCONJ'}
24;['Sometimes_ADV', 'people_NOUN', 'new_ADJ', 'to_ADP', 'the_DET', 'business_NOUN', 'called_VERB', 'Scrooge_PROPN', 'Scrooge_PROPN', ',_PUNCT', 'and_CCONJ', 'sometimes_ADV', 'Marley_PROPN', ',_PUNCT', 'but_CCONJ', 'he_PRON', 'answered_VERB', 'to_ADP', 'both_DET', 'names_NOUN', '._PUNCT'];21;;21;{'new_VERB'};21;
25;['It_PRON', 'was_VERB', 'all_DET', 'the_DET', 'same_ADJ', 'to_ADP', 'him_PRON', '._PUNCT'];8;{'was_AUX'};8;{'was_AUX'};8;
26;['Oh_INTJ', '!_PUNCT'];2;;2;;2;
27;['but_CCONJ', 'he_PRON', 'was_VERB', 'a_DET', 'tight-fisted_ADJ', 'hand_NOUN', 'at_ADP', 'the_DET', 'grindstone_NOUN', ',_PUNCT', 'Scrooge_PROPN', '!_PUNCT'];12;{'tight_ADJ', '-_PUNCT', 'was_AUX', 'fisted_ADJ'};14;{'tight_ADJ', '-_PUNCT', 'was_AUX', 'fisted_VERB'};14;{'fisted_ADJ'}
28;['a_DET', 'squeezing_VERB', ',_PUNCT', 'wrenching_VERB', ',_PUNCT', 'grasping_ADJ', ',_PUNCT', 'scraping_VERB', ',_PUNCT', 'clutching_VERB', ',_PUNCT', 'covetous_ADJ', ',_PUNCT', 'old_ADJ', 'sinner_NOUN', '!_PUNCT'];16;{'grasping_VERB'};16;{'squeezing_NOUN', 'grasping_NOUN', 'wrenching_ADJ', 'clutching_NOUN', 'scraping_NOUN'};16;{'grasping_VERB'}
29;"['Hard_ADJ', 'and_CCONJ', 'sharp_ADJ', 'as_ADP', 'flint_NOUN', ',_PUNCT', 'from_ADP', 'which_PRON', 'no_DET', 'steel_NOUN', 'had_VERB', 'ever_ADV', 'struck_VERB', 'out_ADP', 'generous_ADJ', 'fire_NOUN', ';_PUNCT', 'secret_ADJ', ',_PUNCT', 'and_CCONJ', 'self-contained_ADJ', ',_PUNCT', 'and_CCONJ', 'solitary_ADJ', 'as_ADP', 'an_DET', 'oyster_NOUN', '._PUNCT']";28;{'as_SCONJ', 'self_NOUN', '-_PUNCT', 'contained_VERB', 'which_DET', 'had_AUX', 'secret_NOUN'};30;{'self_NOUN', '-_PUNCT', 'contained_VERB', 'had_AUX', 'secret_NOUN', 'flint_PROPN'};30;{'which_DET', 'as_SCONJ'}
30;"['The_DET', 'cold_ADJ', 'within_ADP', 'him_PRON', 'froze_VERB', 'his_PRON', 'old_ADJ', 'features_NOUN', ',_PUNCT', 'nipped_VERB', 'his_PRON', 'pointed_ADJ', 'nose_NOUN', ',_PUNCT', 'shrivelled_VERB', 'his_PRON', 'cheek_NOUN', ',_PUNCT', 'stiffened_VERB', 'his_PRON', 'gait_NOUN', ';_PUNCT', 'made_VERB', 'his_PRON', 'eyes_NOUN', 'red_ADJ', ',_PUNCT', 'his_PRON', 'thin_ADJ', 'lips_NOUN', 'blue_ADJ', ';_PUNCT', 'and_CCONJ', 'spoke_VERB', 'out_ADP', 'shrewdly_ADV', 'in_ADP', 'his_PRON', 'grating_ADJ', 'voice_NOUN', '._PUNCT']";41;{'grating_NOUN', 'lips_VERB', 'his_DET', 'cold_NOUN'};41;{'out_ADV', 'pointed_VERB', 'grating_NOUN'};41;{'lips_VERB', 'his_DET', 'cold_NOUN'}
31;['A_DET', 'frosty_ADJ', 'rime_NOUN', 'was_VERB', 'on_ADP', 'his_PRON', 'head_NOUN', ',_PUNCT', 'and_CCONJ', 'on_ADP', 'his_PRON', 'eyebrows_NOUN', ',_PUNCT', 'and_CCONJ', 'his_PRON', 'wiry_ADJ', 'chin_NOUN', '._PUNCT'];18;{'was_AUX', 'his_DET'};18;{'was_AUX'};18;{'his_DET'}
32;"['He_PRON', 'carried_VERB', 'his_PRON', 'own_ADJ', 'low_ADJ', 'temperature_NOUN', 'always_ADV', 'about_ADV', 'with_ADP', 'him_PRON', ';_PUNCT', 'he_PRON', 'iced_VERB', 'his_PRON', 'office_NOUN', 'in_ADP', 'the_DET', 'dog-days_NOUN', ';_PUNCT', 'and_CCONJ', 'did_VERB', ""n't_ADV"", 'thaw_VERB', 'it_PRON', 'one_NUM', 'degree_NOUN', 'at_ADP', 'Christmas_PROPN', '._PUNCT']";29;"{'dog_NOUN', 'his_DET', '-_PUNCT', ""n't_PART"", 'days_NOUN', 'did_AUX', 'about_ADP'}";31;"{'dog_NOUN', '-_PUNCT', ""n't_PART"", 'days_NOUN', 'did_AUX', 'about_ADP'}";31;{'his_DET'}
33;['External_ADJ', 'heat_NOUN', 'and_CCONJ', 'cold_NOUN', 'had_VERB', 'little_ADJ', 'influence_NOUN', 'on_ADP', 'Scrooge_PROPN', '._PUNCT'];10;{'had_AUX'};10;{'cold_ADJ'};10;{'had_AUX'}
34;['No_DET', 'warmth_NOUN', 'could_AUX', 'warm_VERB', ',_PUNCT', 'no_DET', 'wintry_ADJ', 'weather_NOUN', 'chill_VERB', 'him_PRON', '._PUNCT'];11;{'could_VERB', 'warm_ADJ', 'wintry_NOUN'};11;;11;{'could_VERB', 'warm_ADJ', 'wintry_NOUN'}
35;['No_DET', 'wind_NOUN', 'that_PRON', 'blew_VERB', 'was_VERB', 'bitterer_ADJ', 'than_ADP', 'he_PRON', ',_PUNCT', 'no_DET', 'falling_VERB', 'snow_NOUN', 'was_VERB', 'more_ADV', 'intent_ADJ', 'upon_ADP', 'its_PRON', 'purpose_NOUN', ',_PUNCT', 'no_DET', 'pelting_VERB', 'rain_NOUN', 'less_ADV', 'open_ADJ', 'to_ADP', 'entreaty_NOUN', '._PUNCT'];27;{'that_DET', 'pelting_ADJ', 'more_ADJ', 'was_AUX', 'than_SCONJ', 'upon_SCONJ', 'its_DET'};27;{'more_ADJ', 'intent_NOUN', 'was_AUX', 'pelting_NOUN', 'falling_NOUN'};27;{'that_DET', 'pelting_ADJ', 'than_SCONJ', 'upon_SCONJ', 'its_DET'}
36;"['Foul_ADJ', 'weather_NOUN', 'did_VERB', ""n't_ADV"", 'know_VERB', 'where_ADV', 'to_PART', 'have_VERB', 'him_PRON', '._PUNCT']";10;"{""n't_PART"", 'did_AUX', 'have_AUX'}";10;"{'Foul_PROPN', ""n't_PART"", 'did_AUX'}";10;{'have_AUX'}
37;['The_DET', 'heaviest_ADJ', 'rain_NOUN', ',_PUNCT', 'and_CCONJ', 'snow_NOUN', ',_PUNCT', 'and_CCONJ', 'hail_NOUN', ',_PUNCT', 'and_CCONJ', 'sleet_NOUN', 'could_AUX', 'boast_VERB', 'of_ADP', 'the_DET', 'advantage_NOUN', 'over_ADP', 'him_PRON', 'in_ADP', 'only_ADV', 'one_NUM', 'respect_NOUN', '._PUNCT'];24;{'could_VERB'};24;;24;{'could_VERB'}
38;"['They_PRON', 'often_ADV', '""_PUNCT', 'came_VERB', 'down_ADP', '""_PUNCT', 'handsomely_ADV', 'and_CCONJ', 'Scrooge_PROPN', 'never_ADV', 'did_VERB', '._PUNCT']";12;{'did_AUX'};12;{'down_ADV'};12;{'did_AUX'}
39;"['Nobody_NOUN', 'ever_ADV', 'stopped_VERB', 'him_PRON', 'in_ADP', 'the_DET', 'street_NOUN', 'to_PART', 'say_VERB', ',_PUNCT', 'with_ADP', 'gladsome_ADJ', 'looks_NOUN', ',_PUNCT', '""_PUNCT', 'My_PRON', 'dear_ADJ', 'Scrooge_PROPN', ',_PUNCT', 'how_ADV', 'are_VERB', 'you_PRON', '?_PUNCT']";23;{'dear_NOUN', 'My_DET', 'Nobody_PRON', 'are_AUX'};23;{'gladsome_NOUN', 'looks_VERB', 'Nobody_PRON', 'are_AUX'};23;{'dear_NOUN', 'My_DET'}
40;"['When_ADV', 'will_AUX', 'you_PRON', 'come_VERB', 'to_PART', 'see_VERB', 'me_PRON', '?_PUNCT', '""_PUNCT']";9;{'will_VERB'};9;;9;{'will_VERB'}
41;"['No_DET', 'beggars_NOUN', 'implored_VERB', 'him_PRON', 'to_PART', 'bestow_VERB', 'a_DET', 'trifle_NOUN', ',_PUNCT', 'no_DET', 'children_NOUN', 'asked_VERB', 'him_PRON', 'what_PRON', 'it_PRON', 'was_VERB', ""o'clock_NOUN"", ',_PUNCT', 'no_DET', 'man_NOUN', 'or_CCONJ', 'woman_NOUN', 'ever_ADV', 'once_ADV', 'in_ADP', 'all_DET', 'his_PRON', 'life_NOUN', 'inquired_VERB', 'the_DET', 'way_NOUN', 'to_ADP', 'such_ADJ', 'and_CCONJ', 'such_DET', 'a_DET', 'place_NOUN', ',_PUNCT', 'of_ADP', 'Scrooge_PROPN', '._PUNCT']";41;{'beggars_VERB', 'was_AUX', 'his_DET'};41;{'was_AUX'};41;{'beggars_VERB', 'his_DET'}
42;"['Even_ADV', 'the_DET', 'blind_ADJ', 'men_NOUN', ""'s_PART"", 'dogs_NOUN', 'appeared_VERB', 'to_PART', 'know_VERB', 'him_PRON', ';_PUNCT', 'and_CCONJ', ',_PUNCT', 'when_ADV', 'they_PRON', 'saw_VERB', 'him_PRON', 'coming_VERB', 'on_ADV', ',_PUNCT', 'would_AUX', 'tug_VERB', 'their_PRON', 'owners_NOUN', 'into_ADP', 'doorways_NOUN', 'and_CCONJ', 'up_ADP', 'courts_NOUN', ';_PUNCT', 'and_CCONJ', 'then_ADV', 'would_AUX', 'wag_VERB', 'their_PRON', 'tails_NOUN', 'as_ADP', 'though_ADP', 'they_PRON', 'said_VERB', ',_PUNCT', '""_PUNCT', 'No_DET', 'eye_NOUN', 'at_ADV', 'all_ADV', 'is_VERB', 'better_ADJ', 'than_ADP', 'an_DET', 'evil_ADJ', 'eye_NOUN', ',_PUNCT', 'dark_ADJ', 'master_NOUN', '!_PUNCT', '""_PUNCT']";57;{'as_SCONJ', 'on_ADP', 'than_SCONJ', 'their_DET', 'is_AUX', 'would_VERB', 'though_SCONJ'};57;{'all_DET', 'as_SCONJ', 'at_ADP', 'is_AUX', 'n_PROPN', 'though_SCONJ', 'me_PRON'};58;{'on_ADP', 'than_SCONJ', 'their_DET', 'would_VERB'}
43;['But_CCONJ', 'what_PRON', 'did_VERB', 'Scrooge_PROPN', 'care_VERB', '?_PUNCT'];6;{'did_AUX'};6;{'did_AUX'};6;
44;['It_PRON', 'was_VERB', 'the_DET', 'very_ADJ', 'thing_NOUN', 'he_PRON', 'liked_VERB', '._PUNCT'];8;{'was_AUX'};8;{'was_AUX'};8;
45;"['To_PART', 'edge_VERB', 'his_PRON', 'way_NOUN', 'along_ADP', 'the_DET', 'crowded_ADJ', 'paths_NOUN', 'of_ADP', 'life_NOUN', ',_PUNCT', 'warning_VERB', 'all_DET', 'human_ADJ', 'sympathy_NOUN', 'to_PART', 'keep_VERB', 'its_PRON', 'distance_NOUN', ',_PUNCT', 'was_VERB', 'what_PRON', 'the_DET', 'knowing_VERB', 'ones_NOUN', 'call_VERB', '""_PUNCT', 'nuts_NOUN', '""_PUNCT', 'to_ADP', 'Scrooge_PROPN', '._PUNCT']";32;{'was_AUX', 'its_DET', 'his_DET'};32;{'was_AUX'};32;{'its_DET', 'his_DET'}
46;['Once_ADV', 'upon_ADP', 'a_DET', 'time_NOUN', '--_PUNCT', 'of_ADP', 'all_DET', 'the_DET', 'good_ADJ', 'days_NOUN', 'in_ADP', 'the_DET', 'year_NOUN', ',_PUNCT', 'on_ADP', 'Christmas_PROPN', 'Eve_PROPN', '--_PUNCT', 'old_ADJ', 'Scrooge_PROPN', 'sat_VERB', 'busy_ADJ', 'in_ADP', 'his_PRON', 'counting-house_NOUN', '._PUNCT'];26;{'his_DET', '-_PUNCT', 'counting_NOUN', 'upon_SCONJ', 'house_NOUN'};28;{'counting_NOUN', 'house_NOUN', '-_PUNCT'};28;{'upon_SCONJ', 'his_DET'}
47;['It_PRON', 'was_VERB', 'cold_ADJ', ',_PUNCT', 'bleak_ADJ', ',_PUNCT', 'biting_ADJ', 'weather_NOUN', ':_PUNCT', 'foggy_ADJ', 'withal_NOUN', ':_PUNCT', 'and_CCONJ', 'he_PRON', 'could_AUX', 'hear_VERB', 'the_DET', 'people_NOUN', 'in_ADP', 'the_DET', 'court_NOUN', 'outside_ADV', 'go_VERB', 'wheezing_VERB', 'up_ADP', 'and_CCONJ', 'down_ADV', ',_PUNCT', 'beating_VERB', 'their_PRON', 'hands_NOUN', 'upon_ADP', 'their_PRON', 'breasts_NOUN', ',_PUNCT', 'and_CCONJ', 'stamping_VERB', 'their_PRON', 'feet_NOUN', 'upon_ADP', 'the_DET', 'pavement_NOUN', 'stones_NOUN', 'to_PART', 'warm_VERB', 'them_PRON', '._PUNCT'];47;{'could_VERB', 'was_AUX', 'their_DET', 'foggy_PROPN', 'upon_SCONJ', 'biting_VERB', 'withal_PROPN'};47;{'biting_VERB', 'was_AUX'};47;{'their_DET', 'foggy_PROPN', 'upon_SCONJ', 'withal_PROPN', 'could_VERB'}
48;['The_DET', 'City_PROPN', 'clocks_NOUN', 'had_VERB', 'only_ADV', 'just_ADV', 'gone_VERB', 'three_NUM', ',_PUNCT', 'but_CCONJ', 'it_PRON', 'was_VERB', 'quite_ADV', 'dark_ADJ', 'already_ADV', '--_PUNCT', 'it_PRON', 'had_VERB', 'not_ADV', 'been_VERB', 'light_NOUN', 'all_DET', 'day_NOUN', '--_PUNCT', 'and_CCONJ', 'candles_NOUN', 'were_VERB', 'flaring_VERB', 'in_ADP', 'the_DET', 'windows_NOUN', 'of_ADP', 'the_DET', 'neighbouring_ADJ', 'offices_NOUN', ',_PUNCT', 'like_ADP', 'ruddy_ADJ', 'smears_NOUN', 'upon_ADP', 'the_DET', 'palpable_ADJ', 'brown_ADJ', 'air_NOUN', '._PUNCT'];45;{'ruddy_NOUN', 'were_AUX', 'light_ADJ', 'not_PART', 'was_AUX', 'been_AUX', 'upon_SCONJ', 'like_SCONJ', 'neighbouring_NOUN', 'had_AUX'};45;{'City_NOUN', 'ruddy_NOUN', 'were_AUX', 'light_ADJ', 'neighbouring_VERB', 'not_PART', 'was_AUX', 'been_AUX', 'had_AUX'};45;{'upon_SCONJ', 'neighbouring_NOUN', 'like_SCONJ'}
49;['The_DET', 'fog_NOUN', 'came_VERB', 'pouring_VERB', 'in_ADP', 'at_ADP', 'every_DET', 'chink_NOUN', 'and_CCONJ', 'keyhole_NOUN', ',_PUNCT', 'and_CCONJ', 'was_VERB', 'so_ADV', 'dense_ADJ', 'without_ADP', ',_PUNCT', 'that_ADP', ',_PUNCT', 'although_ADP', 'the_DET', 'court_NOUN', 'was_VERB', 'of_ADP', 'the_DET', 'narrowest_ADJ', ',_PUNCT', 'the_DET', 'houses_NOUN', 'opposite_ADJ', 'were_VERB', 'mere_ADJ', 'phantoms_NOUN', '._PUNCT'];34;{'were_AUX', 'was_AUX', 'although_SCONJ', 'opposite_ADV', 'that_SCONJ'};34;{'were_AUX', 'in_ADV', 'was_AUX', 'although_SCONJ', 'opposite_ADV', 'that_PRON'};34;{'that_SCONJ'}
50;['To_PART', 'see_VERB', 'the_DET', 'dingy_ADJ', 'cloud_NOUN', 'come_VERB', 'drooping_VERB', 'down_ADP', ',_PUNCT', 'obscuring_VERB', 'everything_NOUN', ',_PUNCT', 'one_PRON', 'might_AUX', 'have_VERB', 'thought_VERB', 'that_ADP', 'nature_NOUN', 'lived_VERB', 'hard_ADV', 'by_ADP', 'and_CCONJ', 'was_VERB', 'brewing_VERB', 'on_ADP', 'a_DET', 'large_ADJ', 'scale_NOUN', '._PUNCT'];29;{'might_VERB', 'was_AUX', 'everything_PRON', 'dingy_NOUN', 'that_SCONJ', 'have_AUX'};29;{'that_SCONJ', 'was_AUX', 'have_AUX', 'everything_PRON'};29;{'dingy_NOUN', 'might_VERB'}
